tx_id	WT_DMSO_1	WT_DMSO_2	eIF4E2_4_DMSO_1	eIF4E2_4_DMSO_2	GIGYF2_4_DMSO_1	GIGYF2_4_DMSO_2	WT_SMG1i_1	WT_SMG1i_2	eIF4E2_4_SMG1i_1	eIF4E2_4_SMG1i_2	GIGYF2_4_SMG1i_1	GIGYF2_4_SMG1i_2
ENST00000570085.5	1.157966	0.842034	0.834847	1.306092	0.701872	1.115622	1.481832	1.710528	1.353530	1.891154	1.884159	1.333382
ENST00000379887.9	0.989398	1.010602	0.977846	1.023838	1.095591	1.033548	1.358630	1.453277	1.301009	1.298676	1.355896	1.389144
