tx_id	WT_DMSO_1	WT_DMSO_2	eIF4E2_4_DMSO_1	eIF4E2_4_DMSO_2	GIGYF2_4_DMSO_1	GIGYF2_4_DMSO_2	WT_SMG1i_1	WT_SMG1i_2	eIF4E2_4_SMG1i_1	eIF4E2_4_SMG1i_2	GIGYF2_4_SMG1i_1	GIGYF2_4_SMG1i_2
ENST00000329433.10	1.009032	0.990968	0.883069	0.988225	0.951185	0.960500	1.250541	1.252532	1.200536	1.219014	1.297468	1.222987
ENST00000510678.5	0.996032	1.003968	0.520171	2.433698	2.073827	2.204437	12.300398	12.696299	14.023313	11.318013	12.457759	17.983029
ENST00000356731.9	1.018899	0.981101	0.810764	0.980957	1.029195	1.204458	1.345393	1.463535	1.371426	1.469833	1.477151	1.992418
ENST00000504779.6	0.950219	1.049781	1.051677	0.789149	0.954503	0.709937	2.200324	2.217351	1.880649	1.473623	1.922332	1.338470
