tx_id	WT_DMSO_1	WT_DMSO_2	eIF4E2_4_DMSO_1	eIF4E2_4_DMSO_2	GIGYF2_4_DMSO_1	GIGYF2_4_DMSO_2	WT_SMG1i_1	WT_SMG1i_2	eIF4E2_4_SMG1i_1	eIF4E2_4_SMG1i_2	GIGYF2_4_SMG1i_1	GIGYF2_4_SMG1i_2
ENST00000613941.4	1.018766	0.981234	0.824058	0.995463	0.744161	0.779251	1.026569	0.976572	0.814845	0.783567	0.811476	0.759117
ENST00000477442.6	0.984922	1.015078	1.152509	1.085692	1.158203	0.910105	2.493347	2.476421	2.846118	2.424171	2.721096	2.647152
ENST00000373715.11	1.002094	0.997906	0.824246	0.853281	0.831560	0.844408	0.805905	0.819868	0.726549	0.811359	0.729053	0.739340
