tx_id	WT_DMSO_1	WT_DMSO_2	eIF4E2_4_DMSO_1	eIF4E2_4_DMSO_2	GIGYF2_4_DMSO_1	GIGYF2_4_DMSO_2	WT_SMG1i_1	WT_SMG1i_2	eIF4E2_4_SMG1i_1	eIF4E2_4_SMG1i_2	GIGYF2_4_SMG1i_1	GIGYF2_4_SMG1i_2
ENST00000329433.10	0.955766	1.044234	0.900596	0.974885	1.013086	1.037198	1.374667	1.122732	1.190357	1.195754	1.051351	1.228439
ENST00000510678.5	1.026159	0.973841	0.958683	0.957045	0.946261	0.872577	2.726081	2.688962	2.496454	2.202247	2.524184	2.293484
ENST00000356731.9	0.994752	1.005248	0.911942	0.957394	1.046273	0.916958	1.811631	1.713411	1.776650	1.604554	1.801861	1.830465
ENST00000504779.6	0.981571	1.018429	1.023685	1.088430	1.054963	1.136355	2.338532	2.014970	2.019254	2.309323	1.828538	1.991921
