tx_id	WT_DMSO_1	WT_DMSO_2	eIF4E2_4_DMSO_1	eIF4E2_4_DMSO_2	GIGYF2_4_DMSO_1	GIGYF2_4_DMSO_2	WT_SMG1i_1	WT_SMG1i_2	eIF4E2_4_SMG1i_1	eIF4E2_4_SMG1i_2	GIGYF2_4_SMG1i_1	GIGYF2_4_SMG1i_2
ENST00000551150.5	0.989068	1.010932	0.905648	1.006427	1.119071	1.110343	0.885160	0.940811	0.865289	0.851286	0.920367	0.994687
ENST00000549098.5	1.020201	0.979799	1.273234	1.158905	1.321319	1.215552	1.087561	1.103365	1.134517	1.320543	1.228054	1.226595
ENST00000547173.5	0.737198	1.262802	0.164868	1.053229	1.135917	0.172631	1.741721	2.623676	0.721359	0.770151	0.324331	1.567759
ENST00000551258.5	0.972957	1.027043	1.790948	2.088387	4.893794	0.794874	23.332111	23.196268	25.959272	14.665647	23.529797	16.021264
