tx_id	WT_DMSO_1	WT_DMSO_2	eIF4E2_4_DMSO_1	eIF4E2_4_DMSO_2	GIGYF2_4_DMSO_1	GIGYF2_4_DMSO_2	WT_SMG1i_1	WT_SMG1i_2	eIF4E2_4_SMG1i_1	eIF4E2_4_SMG1i_2	GIGYF2_4_SMG1i_1	GIGYF2_4_SMG1i_2
ENST00000551150.5	1.034246	0.965754	1.006584	1.010793	0.953546	0.966837	0.879986	0.912848	0.899019	1.026741	0.869570	0.850076
ENST00000549098.5	1.047665	0.952335	0.930160	0.959422	0.842231	0.950030	0.945091	0.919932	0.915375	1.072679	0.966051	0.890870
ENST00000547173.5	0.862205	1.137795	0.219531	0.951808	0.236777	0.866821	4.825815	4.422980	2.915760	3.785995	3.588313	4.004133
ENST00000551258.5	0.976183	1.023817	1.010170	0.987723	0.946571	0.939923	0.939362	0.832648	0.877720	0.915074	0.831075	0.840684
